# eid nid X Y Z SXX SYY SZZ SXY SYZ SXZ
    1870       91 -1.434110E-01   1.215510E-02  -1.075330E-02 -3.322620E+07   7.127880E+07   5.902520E+07 -7.154530E+07  -1.452210E+07   3.841750E+07
    2351       92 -1.469090E-01   1.006570E-02  -8.904860E-03  1.262020E+08   8.978330E+07   1.086470E+08 -5.855030E+07   4.269350E+06   5.556080E+07
    2358       93 -1.512710E-01   1.081140E-02  -9.564570E-03 -2.665810E+07   5.799440E+07   7.385100E+07 -6.368560E+07  -1.236510E+07   5.554560E+07
    5711       94 -1.380350E-01   2.792530E-02   8.626960E-03  1.015340E+07   2.219310E+07   3.658360E+06  1.388080E+07  -1.227860E+07  -7.700110E+06
    1866       95 -1.443850E-01   2.184440E-02   1.173480E-02  3.544000E+07   1.354300E+07   8.357550E+06  1.945780E+07  -8.454540E+06  -1.459770E+07
    1866       96 -1.404260E-01   2.421250E-02   1.048470E-02  3.046270E+07   2.140600E+07   8.196350E+06  2.243870E+07  -1.132720E+07  -1.348840E+07
    2361       97 -1.380350E-01   3.281930E-02   4.297370E-03 -1.572780E+07   1.209570E+06  -1.881770E+07  4.481850E+06   1.901610E+06  -1.690230E+07
    2463       98 -1.375200E-01   3.056920E-02   6.684770E-03 -6.494460E+05   1.074730E+07  -7.465150E+06  7.597040E+06  -3.290910E+06  -1.045720E+07
    1219       99 -1.443850E-01   3.664530E-02  -1.359200E-03 -3.340230E+07  -9.409300E+06  -1.021650E+07  1.693650E+07   5.745300E+06  -1.695410E+07
    1219      100 -1.404260E-01   3.511550E-02   8.389230E-04 -3.377050E+07  -6.037050E+06  -1.759930E+07  1.118040E+07   8.305070E+06  -2.220910E+07
    1857      101 -1.488180E-01   2.137060E-02   1.215400E-02  1.525540E+07   7.663830E+05   2.808560E+06  5.028470E+06  -1.018430E+06  -7.462940E+06
    2194      102 -1.531150E-01   2.231820E-02   1.131570E-02 -8.995180E+06  -6.789730E+06  -3.334180E+06  7.465500E+06   3.382000E+06  -5.685490E+06
    1809      103 -1.564980E-01   2.451610E-02   9.371210E-03 -1.000240E+07  -1.526480E+07  -1.034850E+07  1.091090E+07   1.091910E+07  -9.175120E+06
    1809      104 -1.583570E-01   2.756770E-02   6.671550E-03 -7.693350E+06  -2.054670E+07  -9.526230E+06  9.594680E+06   1.335330E+07  -8.056040E+06
    1773      105 -1.583570E-01   3.092200E-02   3.704050E-03  1.361280E+06  -1.313420E+07   3.928750E+05  5.906400E+06   4.989720E+06  -6.567230E+06
    1764      106 -1.564980E-01   3.397360E-02   1.004400E-03  1.679420E+07   7.049680E+06   5.421480E+06  8.313720E+06  -4.086040E+06  -9.072640E+06
    1784      107 -1.531150E-01   3.617160E-02  -9.400880E-04  2.611410E+07   8.179600E+06   3.262060E+06  1.338980E+07  -2.379870E+06  -4.916980E+06
    5699      108 -1.488180E-01   3.711920E-02  -1.778400E-03  1.868450E+07   7.037070E+06   2.365160E+06  1.470740E+07  -3.970050E+05  -2.662680E+06
    6003      109 -8.001000E-03  -2.333610E-02   3.112400E-02  3.378640E+08   9.565440E+07   5.379570E+07 -1.339100E+08   1.136890E+07  -4.771210E+07
    4093      110 -6.730870E-03  -2.657590E-02   3.399020E-02  2.555690E+08  -1.857070E+06   5.007430E+07 -6.712870E+07   3.311600E+07  -6.982580E+07
    2077      111 -3.323740E-03  -2.878710E-02   3.594640E-02  2.312110E+07  -1.764100E+08  -6.267130E+07  4.041850E+07   1.101180E+08  -5.005160E+07
    2077      112  1.138660E-03  -2.926760E-02   3.637150E-02 -2.900940E+07  -1.597810E+08  -6.987260E+07  6.255280E+07   9.515230E+07  -6.308440E+07
    4476      113  5.239540E-03  -2.786490E-02   3.513060E-02 -1.391240E+08  -8.323960E+07  -6.426240E+07  8.476040E+07   6.153500E+07  -7.247050E+07
    4481      114  7.676900E-03  -2.502440E-02   3.261760E-02 -1.629380E+08  -3.086730E+07  -1.819920E+07  6.273050E+07   3.305310E+07  -5.185510E+07
    4467      115  7.676900E-03  -2.164780E-02   2.963040E-02 -1.936520E+08   9.369990E+04  -5.278320E+06  2.193690E+07  -5.390080E+05  -1.645970E+07
    2068      116  5.239540E-03  -1.880720E-02   2.711740E-02 -1.259130E+08   5.230060E+07   1.756100E+07 -4.661520E+07  -2.986030E+07   4.761310E+07
    4119      117  1.138660E-03  -1.740450E-02   2.587650E-02  6.108100E+07   1.760090E+08   4.333200E+07 -7.807130E+07  -5.430590E+07   3.756260E+07
    4018      118 -3.323740E-03  -1.788510E-02   2.630160E-02  1.551220E+08   2.669740E+08   5.481620E+07 -1.233050E+08  -2.724610E+07  -6.519530E+06
    6009      119 -6.730870E-03  -2.009630E-02   2.825780E-02  2.814260E+08   1.986140E+08   7.099550E+07 -1.589990E+08  -3.453270E+07   9.264640E+06
    4012      120 -3.671900E-03  -1.425260E-02   2.647940E-02  6.979760E+07   1.362360E+08   3.561250E+07 -6.171350E+07   2.309990E+07  -2.738200E+07
    6165      121  9.788390E-04  -1.379220E-02   2.607210E-02  3.880810E+07   9.945130E+07   1.505120E+07 -5.176870E+07   2.050870E+07  -2.664570E+07
    4560      122  5.435710E-03  -1.488880E-02   2.704220E-02  1.507540E+07   9.796610E+07   4.953940E+06 -4.184210E+07   3.671260E+06  -7.927820E+06
    4557      123  8.815970E-03  -1.732510E-02   2.919750E-02  1.047150E+07   9.008650E+07   5.593000E+06 -3.156320E+07  -2.280580E+06  -2.350850E+06
    5582      124  1.045010E-02  -2.061860E-02   3.211120E-02  6.794100E+06   7.867250E+07   7.486480E+06 -1.700430E+07  -1.876360E+05  -6.424650E+06
    5674      125  1.001450E-02  -2.411700E-02   3.520620E-02  3.296190E+06   5.211120E+07   2.130590E+07  1.120410E+07   3.282730E+06  -3.624080E+06
    1494      126  7.595380E-03  -2.712740E-02   3.786940E-02  2.424110E+07   2.381640E+07   4.641230E+07  8.285020E+06   1.235370E+07  -1.609960E+07
     160      127  3.671900E-03  -2.905350E-02   3.957340E-02  5.382180E+07   1.833250E+07   5.192810E+07 -8.690300E+06   2.238130E+07  -3.774100E+07
    1385      128 -9.788390E-04  -2.951390E-02   3.998070E-02  7.714770E+07   3.511520E+07   5.405220E+07 -3.232560E+07   3.656000E+07  -5.157380E+07
    1384      129 -5.435710E-03  -2.841730E-02   3.901060E-02  8.324600E+07   5.452200E+07   7.257770E+07 -5.111220E+07   4.719260E+07  -6.742490E+07
    4089      130 -8.815970E-03  -2.598100E-02   3.685520E-02  1.080650E+08   9.130740E+07   7.445330E+07 -6.539320E+07   5.984900E+07  -7.417670E+07
    3906      131 -1.045010E-02  -2.268750E-02   3.394150E-02  1.187400E+08   1.164100E+08   6.682810E+07 -7.847290E+07   5.861400E+07  -5.838640E+07
    3928      132 -1.001450E-02  -1.918910E-02   3.084660E-02  1.190470E+08   1.152280E+08   4.290680E+07 -7.590590E+07   3.505910E+07  -3.027880E+07
    3921      133 -7.595380E-03  -1.617870E-02   2.818340E-02  1.052730E+08   1.404570E+08   4.823000E+07 -7.547890E+07   3.890150E+07  -3.844970E+07
    5728      134 -5.156200E-03  -2.333610E-02   3.112400E-02  2.148500E+08   1.166460E+08   1.234790E+08 -1.238050E+08   1.315030E+07   3.706130E+07
    4128      135 -3.214840E-03  -2.031670E-02   2.845290E-02  2.397730E+08   1.678260E+08   1.085360E+08 -7.550960E+07   1.270020E+07   4.199560E+07
    2068      136  1.147360E-03  -1.957100E-02   2.779320E-02 -9.846180E+07   8.856290E+07   7.970260E+07 -9.582620E+07  -3.477250E+07   8.115850E+07
    2068      137  4.645580E-03  -2.166050E-02   2.964160E-02 -2.285340E+08   4.197790E+07   2.292490E+07 -3.324210E+07  -3.535710E+07   3.524160E+07
    4476      138  4.645580E-03  -2.501170E-02   3.260640E-02 -2.128350E+08  -1.041770E+08  -6.232120E+07  1.108120E+08   6.556210E+07  -6.935000E+07
    2067      139  1.147360E-03  -2.710110E-02   3.445480E-02 -8.337300E+07  -3.091220E+08  -1.458940E+08  1.014610E+08   1.338440E+08  -8.887620E+07
    2067      140 -3.214840E-03  -2.635540E-02   3.379510E-02  7.103470E+07  -2.452300E+08  -9.879600E+07  1.002700E+07   1.407710E+08  -4.495160E+07
    4092      141 -5.156200E-03  -2.853650E-02   2.524560E-02  3.651580E+08   1.016650E+08   1.299240E+08 -6.950090E+07  -3.395140E+07  -6.188120E+07
    2029      142 -3.214840E-03  -2.551720E-02   2.257450E-02  2.889810E+08   2.410390E+08   1.012910E+08 -8.757340E+07   1.254420E+06  -3.358390E+07
    4124      143  1.147360E-03  -2.477150E-02   2.191480E-02  7.326190E+07   1.449450E+08   1.279260E+07 -8.158110E+07   1.069900E+07   6.978110E+07
    6037      144  4.645580E-03  -2.686090E-02   2.376320E-02 -1.636600E+07   1.388490E+08   5.230660E+07  1.904690E+07  -2.654330E+07   4.578640E+07
    4472      145  4.645580E-03  -3.021210E-02   2.672800E-02  5.043040E+07   5.025730E+07   1.360570E+08  4.670380E+07  -4.950530E+07   4.223460E+07
    4414      146  1.147360E-03  -3.230160E-02   2.857640E-02  1.090270E+08  -2.684870E+07   1.500560E+08  9.228250E+07  -7.158920E+07  -6.865200E+07
    4092      147 -3.214840E-03  -3.155590E-02   2.791670E-02  3.229850E+08   3.868380E+07   1.591100E+08 -3.391110E+07  -3.405380E+06  -9.553200E+07
    2009      148 -1.002190E-02  -9.547990E-03   4.177870E-02 -1.071570E+07  -1.195120E+07  -2.804730E+07 -9.063500E+06   1.466590E+07   1.730750E+07
    2014      149 -3.671900E-03  -5.721940E-03   3.612210E-02 -2.276940E+07  -1.754600E+07  -7.203790E+06 -2.036290E+07   9.190320E+06   1.379040E+07
    2009      150 -7.630700E-03  -7.251480E-03   3.832010E-02 -2.262670E+07  -1.675710E+07  -2.800630E+07 -1.449620E+07   1.419400E+07   2.018120E+07
    3883      151 -1.002190E-02  -1.444200E-02   4.610830E-02  9.928600E+06   1.412840E+07  -1.172200E+07 -1.540700E+07   4.642330E+06   6.054510E+06
     216      152 -1.053670E-02  -1.179810E-02   4.416610E-02 -4.659350E+06  -5.337680E+05  -2.303110E+07 -7.165060E+06   9.537800E+06   1.163350E+07
    4160      153 -3.671900E-03  -2.052280E-02   4.921610E-02  3.829910E+07   1.732190E+07   1.485590E+06 -2.114660E+07   4.445130E+05  -2.326280E+05
    4159      154 -7.630480E-03  -1.815460E-02   4.796570E-02  3.151590E+07   2.243870E+07   1.031980E+06 -2.345830E+07  -5.249080E+05   5.323810E+05
    4045      155  7.617530E-04  -5.248090E-03   3.570290E-02 -7.093580E+06   3.921900E+06  -7.349820E+05 -2.182470E+07  -1.234130E+06   1.078670E+07
    4047      156  5.057900E-03  -6.195680E-03   3.654120E-02  3.904290E+06   9.681030E+06   3.179630E+06 -1.960490E+07  -5.911250E+06   6.501940E+06
    4247      157  8.441020E-03  -8.393640E-03   3.848570E-02  9.589900E+06   1.695200E+07   3.795370E+06 -1.294120E+07  -5.287030E+06   5.138610E+06
    2148      158  1.030040E-02  -1.144520E-02   4.118530E-02 -6.654120E+05  -1.481350E+07  -4.837570E+06 -7.217660E+06   1.011860E+07   7.100260E+06
    2175      159  1.030040E-02  -1.479960E-02   4.415280E-02 -1.244450E+07  -2.843140E+07  -1.655830E+07 -1.754290E+07   2.098520E+07   1.262060E+07
    2165      160  8.441020E-03  -1.785110E-02   4.685250E-02 -3.089190E+07  -2.242270E+07  -1.897950E+07 -2.235180E+07   1.869200E+07   2.006420E+07
    2165      161  5.057900E-03  -2.004910E-02   4.879700E-02 -3.325490E+07  -1.341070E+07  -1.478440E+07 -1.846220E+07   1.265510E+07   2.029250E+07
    5733      162  7.617530E-04  -2.099670E-02   4.963530E-02 -9.781020E+06  -3.913330E+06  -5.890850E+05 -8.908120E+06   4.570910E+06   1.050200E+07
    3711      163 -8.001000E-03   5.200480E-03   5.878400E-03  2.836410E+08   5.286200E+07   5.293030E+07 -2.743220E+04  -3.161890E+07  -3.375790E+07
    2016      164 -6.730870E-03   1.960670E-03   8.744580E-03  2.444990E+08   5.277950E+07   4.759530E+07  3.853100E+07  -4.552820E+07  -2.692830E+07
    3891      165 -3.323740E-03  -2.505300E-04   1.070080E-02  1.498540E+08   5.293940E+07   6.505460E+07  3.040060E+07  -3.748710E+07  -6.572090E+07
    4026      166  1.138660E-03  -7.310680E-04   1.112590E-02  4.405820E+07   2.686780E+07   2.962560E+07  5.989830E+07  -2.221570E+07  -6.172440E+07
    2048      167  5.239540E-03   6.716170E-04   9.884970E-03 -1.067260E+08   2.692140E+07   1.650330E+07  5.173100E+07  -1.472800E+07  -5.338240E+07
    2056      168  7.676900E-03   3.512180E-03   7.371990E-03 -1.508770E+08   8.987150E+06   4.102430E+06  1.583910E+07  -1.433820E+07  -2.637840E+07
