# elem_id    node_id        X            Y            Z         Damage        N_failure
      247        250  -6.613030E-02  -3.676510E-02   4.798960E-02   0.000000E+00   1.797693+308
      254        251  -7.099480E-02  -3.676510E-02   4.798960E-02   0.000000E+00   1.797693+308
     6424        252  -7.585930E-02  -3.676510E-02   4.798960E-02   0.000000E+00   1.797693+308
     1992        253  -8.072380E-02  -3.676510E-02   4.798960E-02   0.000000E+00   1.797693+308
     3169        254  -8.558830E-02  -3.676510E-02   4.798960E-02   0.000000E+00   1.797693+308
     3100        255  -9.045270E-02  -3.676510E-02   4.798960E-02   0.000000E+00   1.797693+308
      335        256  -9.531720E-02  -3.676510E-02   4.798960E-02   0.000000E+00   1.797693+308
      321        257  -1.001820E-01  -3.676510E-02   4.798960E-02   0.000000E+00   1.797693+308
     3018        258  -1.050460E-01  -3.676510E-02   4.798960E-02   0.000000E+00   1.797693+308
     3008        259  -1.099110E-01  -3.676510E-02   4.798960E-02   0.000000E+00   1.797693+308
     2863        260  -1.147750E-01  -3.676510E-02   4.798960E-02   0.000000E+00   1.797693+308
     2826        261  -1.196400E-01  -4.188140E-02   4.220630E-02   0.000000E+00   1.797693+308
     2821        262  -1.196400E-01  -3.932330E-02   4.509790E-02   0.000000E+00   1.797693+308
     3592        263  -9.212580E-02  -2.308860E-02   7.112400E-02   0.000000E+00   1.797693+308
     3405        264  -9.212580E-02  -2.192120E-02   6.638770E-02   0.000000E+00   1.797693+308
     6747        265  -9.212580E-02  -1.868640E-02   6.273640E-02   0.000000E+00   1.797693+308
     3303        266  -9.212580E-02  -1.412530E-02   6.100660E-02   0.000000E+00   1.797693+308
     3133        267  -9.212580E-02  -9.282820E-03   6.159460E-02   0.000000E+00   1.797693+308
     3285        268  -9.212580E-02  -5.268230E-03   6.436560E-02   0.000000E+00   1.797693+308
     6749        269  -9.212580E-02  -3.001270E-03   6.868500E-02   0.000000E+00   1.797693+308
     3441        270  -9.212580E-02  -3.001270E-03   7.356310E-02   0.000000E+00   1.797693+308
     6785        271  -9.212580E-02  -5.268230E-03   7.788240E-02   0.000000E+00   1.797693+308
     3860        272  -9.212580E-02  -9.282820E-03   8.065350E-02   0.000000E+00   1.797693+308
     4163        273  -9.212580E-02  -1.412530E-02   8.124150E-02   0.000000E+00   1.797693+308
     3987        274  -9.212580E-02  -1.868640E-02   7.951170E-02   0.000000E+00   1.797693+308
     3804        275  -9.212580E-02  -2.192120E-02   7.586040E-02   0.000000E+00   1.797693+308
     5946        276  -9.149080E-02  -2.245360E-02   7.112400E-02   0.000000E+00   1.797693+308
     3801        277  -9.149080E-02  -2.135890E-02   7.556530E-02   0.000000E+00   1.797693+308
     3994        278  -9.149080E-02  -1.832570E-02   7.898910E-02   0.000000E+00   1.797693+308
     4173        279  -9.149080E-02  -1.404880E-02   8.061110E-02   0.000000E+00   1.797693+308
     3861        280  -9.149080E-02  -9.508000E-03   8.005970E-02   0.000000E+00   1.797693+308
     3864        281  -9.149080E-02  -5.743540E-03   7.746130E-02   0.000000E+00   1.797693+308
     3390        282  -9.149080E-02  -3.617820E-03   7.341110E-02   0.000000E+00   1.797693+308
     3290        283  -9.149080E-02  -3.617820E-03   6.883690E-02   0.000000E+00   1.797693+308
     3280        284  -9.149080E-02  -5.743540E-03   6.478670E-02   0.000000E+00   1.797693+308
     3132        285  -9.149080E-02  -9.508000E-03   6.218830E-02   0.000000E+00   1.797693+308
     3299        286  -9.149080E-02  -1.404880E-02   6.163700E-02   0.000000E+00   1.797693+308
     6738        287  -9.149080E-02  -1.832570E-02   6.325900E-02   0.000000E+00   1.797693+308
     3402        288  -9.149080E-02  -2.135890E-02   6.668280E-02   0.000000E+00   1.797693+308
     3596        289  -8.450580E-02  -2.308860E-02   7.112400E-02   0.000000E+00   1.797693+308
     3806        290  -8.450580E-02  -2.192120E-02   7.586040E-02   0.000000E+00   1.797693+308
     6765        291  -8.450580E-02  -1.868640E-02   7.951170E-02   0.000000E+00   1.797693+308
      204        292  -8.450580E-02  -1.412530E-02   8.124150E-02   0.000000E+00   1.797693+308
     3846        293  -8.450580E-02  -9.282820E-03   8.065350E-02   0.000000E+00   1.797693+308
     3856        294  -8.450580E-02  -5.268230E-03   7.788240E-02   0.000000E+00   1.797693+308
     3384        295  -8.450580E-02  -3.001270E-03   7.356310E-02   0.000000E+00   1.797693+308
     6748        296  -8.450580E-02  -3.001270E-03   6.868500E-02   0.000000E+00   1.797693+308
      510        297  -8.450580E-02  -5.268230E-03   6.436560E-02   0.000000E+00   1.797693+308
     3137        298  -8.450580E-02  -9.282820E-03   6.159460E-02   0.000000E+00   1.797693+308
