# elem_id    node_id        X            Y            Z         Damage        N_failure
     5930        281  -3.671900E-03   1.428390E-02   1.233790E-03   0.000000E+00   1.797693+308
     5870        282  -8.699360E-04   1.475150E-02   8.201580E-04   0.000000E+00   1.797693+308
     5869        283   1.996550E-03   1.463550E-02   9.227610E-04   0.000000E+00   1.797693+308
     2435        284   4.714960E-03   1.394460E-02   1.533990E-03   0.000000E+00   1.797693+308
     8274        285   7.083680E-03   1.273000E-02   2.608520E-03   0.000000E+00   1.797693+308
     6533        286   8.927040E-03   1.108180E-02   4.066650E-03   0.000000E+00   1.797693+308
     5564        287   1.010830E-02   9.122200E-03   5.800250E-03   0.000000E+00   1.797693+308
     6013        288   1.053990E-02   6.996590E-03   7.680730E-03   0.000000E+00   1.797693+308
     6477        289   1.018980E-02   4.862590E-03   9.568630E-03   0.000000E+00   1.797693+308
    10632        290   9.083980E-03   2.878460E-03   1.132390E-02   0.000000E+00   1.797693+308
    10623        291   7.304420E-03   1.191370E-03   1.281650E-02   0.000000E+00   1.797693+308
    10620        292   4.983140E-03  -7.355920E-05   1.393550E-02   0.000000E+00   1.797693+308
    11209        293   2.292270E-03  -8.225190E-04   1.459810E-02   0.000000E+00   1.797693+308
    11702        294  -5.686020E-04  -9.999610E-04   1.475510E-02   0.000000E+00   1.797693+308
     5777        295  -3.387300E-03  -5.927230E-04   1.439480E-02   0.000000E+00   1.797693+308
    11202        296  -5.954790E-03   3.689900E-04   1.354400E-02   0.000000E+00   1.797693+308
    20283        297  -8.080630E-03   1.813850E-03   1.226580E-02   0.000000E+00   1.797693+308
