# eid nid X Y Z SXX SYY SZZ SXY SYZ SXZ
     29.   2771. -0.138368E+00  0.212068E-01  0.236833E-02  0.109136E+08  0.322994E+08 -0.203693E+08  0.200001E+08 -0.417816E+08 -0.969444E+07
     29.   2770. -0.137815E+00  0.230138E-01  0.191053E-02  0.461298E+07  0.335741E+08 -0.235286E+08  0.172484E+08 -0.407537E+08 -0.655188E+07
     29.  11947. -0.137736E+00  0.208476E-01  0.392678E-02  0.193073E+08  0.337937E+08 -0.160901E+08  0.202491E+08 -0.381860E+08 -0.161257E+08
     30.   2729. -0.138876E+00  0.195819E-01  0.208197E-02  0.162116E+08  0.188621E+08 -0.256769E+08  0.178152E+08 -0.406120E+08 -0.132166E+08
     30.   2771. -0.138368E+00  0.212068E-01  0.236833E-02  0.148477E+08  0.243854E+08 -0.231870E+08  0.178881E+08 -0.405120E+08 -0.129416E+08
     30.  11947. -0.137736E+00  0.208476E-01  0.392678E-02  0.200088E+08  0.260315E+08 -0.209003E+08  0.166412E+08 -0.358447E+08 -0.176709E+08
     30.  11910. -0.136412E+00  0.199262E-01  0.282562E-02  0.169068E+08  0.193156E+08 -0.285509E+08  0.970504E+07 -0.330666E+08 -0.183148E+08
     31.   2729. -0.138876E+00  0.195819E-01  0.208197E-02  0.150022E+08  0.190727E+08 -0.239204E+08  0.225750E+08 -0.431924E+08 -0.118971E+08
     31.  11947. -0.137736E+00  0.208476E-01  0.392678E-02  0.210815E+08  0.279304E+08 -0.179393E+08  0.204760E+08 -0.380052E+08 -0.167255E+08
     31.   2771. -0.138368E+00  0.212068E-01  0.236833E-02  0.130611E+08  0.248269E+08 -0.222971E+08  0.220882E+08 -0.429498E+08 -0.109264E+08
     31.   2772. -0.139240E+00  0.202646E-01  0.375697E-02  0.203090E+08  0.261701E+08 -0.144859E+08  0.271932E+08 -0.422773E+08 -0.157532E+08
     32.   9678. -0.138370E+00  0.183764E-01  0.360151E-02  0.273410E+08  0.210978E+08 -0.245220E+08  0.117471E+08 -0.297389E+08 -0.212220E+08
     32.  11947. -0.137736E+00  0.208476E-01  0.392678E-02  0.256854E+08  0.266276E+08 -0.200823E+08  0.146169E+08 -0.307435E+08 -0.214596E+08
     32.  11718. -0.137730E+00  0.184533E-01  0.596168E-02  0.333551E+08  0.266582E+08 -0.199892E+08  0.114575E+08 -0.248113E+08 -0.233123E+08
     32.  11910. -0.136412E+00  0.199262E-01  0.282562E-02  0.236741E+08  0.228040E+08 -0.238683E+08  0.869581E+07 -0.278588E+08 -0.221427E+08
     33.  10334. -0.136800E+00  0.226371E-01  0.633746E-02  0.335893E+08  0.349912E+08 -0.144447E+08  0.172364E+08 -0.272934E+08 -0.243051E+08
     33.  11718. -0.137730E+00  0.184533E-01  0.596168E-02  0.356626E+08  0.299477E+08 -0.190411E+08  0.131647E+08 -0.247013E+08 -0.246237E+08
     33.  11947. -0.137736E+00  0.208476E-01  0.392678E-02  0.270838E+08  0.295682E+08 -0.179121E+08  0.157700E+08 -0.303080E+08 -0.222098E+08
     33.  11910. -0.136412E+00  0.199262E-01  0.282562E-02  0.249459E+08  0.257916E+08 -0.221572E+08  0.999134E+07 -0.274658E+08 -0.231324E+08
     34.   2786. -0.139060E+00  0.217690E-01  0.502794E-02  0.322953E+08  0.413873E+08 -0.192886E+07  0.305470E+08 -0.360037E+08 -0.236339E+08
     34.   8580. -0.138737E+00  0.201291E-01  0.754471E-02  0.449443E+08  0.401531E+08 -0.437327E+07  0.254413E+08 -0.276041E+08 -0.275594E+08
     34.  11947. -0.137736E+00  0.208476E-01  0.392678E-02  0.314964E+08  0.353537E+08 -0.104762E+08  0.225251E+08 -0.328372E+08 -0.229611E+08
     34.  10334. -0.136800E+00  0.226371E-01  0.633746E-02  0.368629E+08  0.420754E+08 -0.703838E+07  0.228505E+08 -0.293695E+08 -0.256714E+08
     35.   8508. -0.136108E+00  0.235213E-01  0.343978E-02  0.160638E+08  0.261797E+08 -0.231173E+08  0.884640E+07 -0.305818E+08 -0.182209E+08
     35.  11947. -0.137736E+00  0.208476E-01  0.392678E-02  0.198516E+08  0.267641E+08 -0.227921E+08  0.125822E+08 -0.324113E+08 -0.195799E+08
     35.  10327. -0.136219E+00  0.212722E-01  0.112706E-02  0.128117E+08  0.201070E+08 -0.288879E+08  0.499147E+07 -0.325958E+08 -0.170692E+08
     35.  11910. -0.136412E+00  0.199262E-01  0.282562E-02  0.186490E+08  0.227988E+08 -0.258276E+08  0.652531E+07 -0.300369E+08 -0.201754E+08
     36.   2771. -0.138368E+00  0.212068E-01  0.236833E-02  0.117781E+08  0.224030E+08 -0.259013E+08  0.141945E+08 -0.379051E+08 -0.127478E+08
     36.  10327. -0.136219E+00  0.212722E-01  0.112706E-02  0.134354E+08  0.186049E+08 -0.310348E+08  0.645938E+07 -0.352848E+08 -0.162913E+08
     36.  11947. -0.137736E+00  0.208476E-01  0.392678E-02  0.184239E+08  0.258584E+08 -0.225379E+08  0.135750E+08 -0.337848E+08 -0.178353E+08
     36.  11910. -0.136412E+00  0.199262E-01  0.282562E-02  0.182132E+08  0.208972E+08 -0.285702E+08  0.785359E+07 -0.327530E+08 -0.196802E+08
