# eid nid X Y Z SXX SYY SZZ SXY SYZ SXZ
     28.    369. -0.845058E-01 -0.238047E-01  0.564735E-01 -0.999071E+06  0.140802E+06 -0.201590E+07 -0.135598E+06  0.737355E+06  0.104050E+07
     28.    673. -0.835694E-01 -0.248016E-01  0.544206E-01 -0.119604E+07 -0.405839E+06 -0.221230E+07 -0.113799E+06  0.636216E+06  0.146934E+07
     28.    968. -0.882936E-01 -0.258752E-01  0.568708E-01 -0.758944E+06  0.863103E+06  0.440800E+06 -0.183233E+06  0.111744E+07  0.798648E+06
     28.    952. -0.888320E-01 -0.209310E-01  0.534355E-01 -0.722853E+06  0.770929E+06  0.119344E+07 -0.794137E+06  0.138500E+07  0.652514E+06
     29.    673. -0.835694E-01 -0.248016E-01  0.544206E-01  0.186251E+06 -0.809956E+05 -0.355312E+06 -0.718366E+06  0.975474E+06  0.650835E+06
     29.    968. -0.882936E-01 -0.258752E-01  0.568708E-01  0.848558E+05  0.175475E+06  0.409680E+06 -0.392344E+06  0.727672E+06  0.270649E+06
     29.    794. -0.904572E-01 -0.277895E-01  0.509821E-01  0.322076E+07 -0.221903E+04  0.612889E+06 -0.714127E+06  0.620635E+06  0.478018E+06
     29.    939. -0.876713E-01 -0.315284E-01  0.535738E-01  0.315085E+07  0.112702E+06  0.913708E+06 -0.654838E+06  0.734984E+06  0.232893E+06
     30.    664. -0.931723E-01 -0.265266E-01  0.574718E-01 -0.200545E+06  0.363213E+06  0.485345E+06 -0.214708E+06  0.456861E+06  0.198297E+06
     30.    794. -0.904572E-01 -0.277895E-01  0.509821E-01  0.235654E+07 -0.346939E+06  0.242474E+06 -0.712390E+06  0.583239E+06  0.616871E+06
     30.    968. -0.882936E-01 -0.258752E-01  0.568708E-01  0.208274E+06  0.361692E+06  0.523382E+06 -0.199528E+06  0.638694E+06  0.256713E+06
     30.    939. -0.876713E-01 -0.315284E-01  0.535738E-01  0.241589E+07 -0.346871E+05  0.576363E+06 -0.501011E+06  0.646604E+06  0.410413E+06
     31.     25. -0.138035E+00 -0.110747E-01  0.431293E-01 -0.113717E+07  0.949458E+06  0.407774E+06 -0.243178E+07 -0.752295E+07 -0.356925E+07
     31.    967. -0.129446E+00 -0.137170E-01  0.409435E-01  0.264662E+07  0.209097E+07  0.893591E+06 -0.168919E+07 -0.457219E+07 -0.213892E+07
     31.    823. -0.135779E+00 -0.208036E-01  0.433864E-01  0.257200E+07  0.165485E+07 -0.315571E+07  0.198835E+06 -0.492504E+07 -0.240624E+07
     31.    935. -0.133571E+00 -0.135614E-01  0.305075E-01  0.487671E+07  0.337595E+07 -0.938307E+06  0.119043E+07 -0.739731E+07 -0.229905E+06
     32.    813. -0.129234E+00 -0.211795E-01  0.320659E-01  0.190824E+08  0.154692E+07  0.270747E+06  0.407986E+07 -0.356696E+07  0.101183E+06
     32.    823. -0.135779E+00 -0.208036E-01  0.433864E-01  0.770255E+07  0.185977E+07 -0.278819E+07  0.170982E+07 -0.375093E+07 -0.183039E+07
     32.    967. -0.129446E+00 -0.137170E-01  0.409435E-01  0.721621E+07  0.150388E+07  0.836874E+06  0.843191E+05 -0.349162E+07 -0.151491E+07
     32.    935. -0.133571E+00 -0.135614E-01  0.305075E-01  0.964608E+07  0.320818E+07 -0.178325E+06  0.298953E+07 -0.568759E+07 -0.169817E+06
     33.    798. -0.115466E+00 -0.168556E-01  0.366801E-01  0.152758E+08 -0.744138E+06  0.301935E+07 -0.295814E+06 -0.494614E+06  0.423935E+06
     33.    967. -0.129446E+00 -0.137170E-01  0.409435E-01  0.898194E+07  0.157949E+06  0.198002E+07 -0.106229E+07 -0.177492E+07 -0.875536E+06
     33.    813. -0.129234E+00 -0.211795E-01  0.320659E-01  0.213192E+08  0.850089E+06  0.125408E+07  0.234244E+07 -0.179197E+07  0.162948E+07
     33.    945. -0.126799E+00 -0.243567E-01  0.452491E-01  0.108081E+08 -0.655902E+06  0.184020E+07 -0.991290E+06 -0.890662E+06 -0.667295E+06
     34.    798. -0.115466E+00 -0.168556E-01  0.366801E-01  0.157870E+08 -0.208420E+06  0.306970E+07 -0.251882E+06 -0.668944E+06  0.866401E+06
     34.    813. -0.129234E+00 -0.211795E-01  0.320659E-01  0.224395E+08  0.186886E+07  0.301102E+07  0.296266E+07 -0.252819E+07  0.160950E+07
     34.    967. -0.129446E+00 -0.137170E-01  0.409435E-01  0.980619E+07  0.101502E+07  0.278778E+07 -0.890823E+06 -0.220857E+07 -0.532054E+06
     34.    921. -0.126670E+00 -0.670148E-02  0.324269E-01  0.130383E+08  0.106601E+07  0.314764E+07  0.399511E+06 -0.190593E+07  0.220898E+06
     35.    813. -0.129234E+00 -0.211795E-01  0.320659E-01  0.229850E+08  0.287072E+07  0.277256E+07  0.426090E+07 -0.338402E+07  0.764566E+06
     35.    967. -0.129446E+00 -0.137170E-01  0.409435E-01  0.803939E+07  0.153965E+07  0.213037E+07 -0.175177E+06 -0.335766E+07 -0.604852E+06
     35.    921. -0.126670E+00 -0.670148E-02  0.324269E-01  0.948956E+07  0.153305E+07  0.267317E+07  0.347432E+06 -0.350350E+07  0.162605E+07
     35.    935. -0.133571E+00 -0.135614E-01  0.305075E-01  0.128244E+08  0.378496E+07  0.200619E+07  0.275314E+07 -0.543261E+07  0.430961E+06
     36.    813. -0.129234E+00 -0.211795E-01  0.320659E-01  0.193195E+08  0.140564E+07  0.567811E+06  0.293374E+07 -0.265584E+07 -0.438407E+06
     36.    967. -0.129446E+00 -0.137170E-01  0.409435E-01  0.754713E+07  0.650160E+06  0.105937E+07 -0.746468E+06 -0.238742E+07 -0.190719E+07
     36.    823. -0.135779E+00 -0.208036E-01  0.433864E-01  0.101186E+08  0.127885E+07 -0.148832E+07  0.814234E+06 -0.258166E+07 -0.159755E+07
     36.    945. -0.126799E+00 -0.243567E-01  0.452491E-01  0.104902E+08  0.282726E+06  0.136874E+07 -0.659201E+06 -0.148608E+07 -0.168892E+07
